Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
265,2150,665,0.0,"{6, 108, 109, 152, 56, 219, 63, 191}"
266,2161,636,0.0009996891021728516,"{128, 66, 163, 138, 172, 140, 247, 218, 59}"
267,2173,824,0.0,"{225, 37, 39, 237, 214, 119, 56, 121, 63, 191}"
268,2178,617,0.0,"{97, 100, 109, 238, 50, 23, 56, 63}"
269,2188,670,0.0010008811950683594,"{32, 40, 77, 15, 63, 148, 93, 191}"
270,2197,634,0.0,"{2, 204, 77, 83, 148, 86, 119, 127}"
271,2207,663,0.001001119613647461,"{134, 106, 235, 108, 237, 206, 119, 56}"
272,2216,608,0.0010004043579101562,"{237, 241, 179, 83, 51, 246, 56, 191}"
273,2228,729,0.0010001659393310547,"{264, 201, 140, 242, 51, 84, 213, 127, 191}"
274,2233,635,0.0,"{135, 138, 139, 237, 273, 209, 56}"
275,2245,589,0.0,"{128, 129, 138, 172, 209, 242, 91, 127}"
276,2254,619,0.0010004043579101562,"{35, 134, 135, 137, 239, 242, 83, 152}"
277,2266,754,0.0010006427764892578,"{3, 135, 44, 77, 119, 214, 23, 152, 252}"
278,2274,659,0.0,"{261, 262, 168, 137, 77, 237, 273, 56}"
279,2281,546,0.0,"{199, 201, 44, 77, 56, 126, 63}"
280,2295,762,0.0,"{225, 137, 106, 109, 180, 53, 152, 93, 63}"
281,2304,668,0.0,"{162, 166, 137, 105, 171, 45, 177, 56, 63}"
282,2312,684,0.0010008811950683594,"{138, 237, 206, 273, 24, 59, 93, 127}"
283,2323,701,0.0,"{128, 258, 134, 138, 77, 173, 51, 119, 217}"
284,2331,649,0.0,"{1, 8, 112, 273, 119, 56, 25, 59}"
285,2341,620,0.0,"{162, 166, 106, 77, 269, 50, 278, 221}"
286,2352,676,0.0,"{256, 8, 138, 113, 145, 87, 187, 93, 127}"
287,2360,688,0.0009999275207519531,"{281, 201, 137, 140, 239, 113, 185, 63}"
288,2371,711,0.0,"{225, 106, 237, 239, 15, 79, 50, 56, 187}"
289,2383,805,0.0009999275207519531,"{258, 3, 99, 106, 282, 236, 152, 56, 283, 286}"
290,2391,705,0.0,"{224, 65, 263, 168, 106, 234, 77, 50, 56}"
291,2400,702,0.0010006427764892578,"{32, 171, 172, 77, 107, 56, 121, 123, 191}"
292,2410,640,0.0009989738464355469,"{258, 198, 77, 177, 178, 56, 283, 95, 31}"
293,2420,820,0.0009989738464355469,"{258, 200, 59, 187, 112, 148, 56, 283, 93}"
294,2429,708,0.0,"{34, 7, 266, 204, 272, 56, 59, 93, 191}"
295,2439,647,0.0,"{224, 165, 123, 76, 54, 152, 218, 59, 191}"
296,2448,773,0.0009996891021728516,"{104, 106, 234, 177, 245, 86, 56, 59, 127}"
297,2458,725,0.0,"{258, 231, 266, 283, 272, 119, 152, 281, 59}"
298,2466,679,0.0009999275207519531,"{162, 296, 201, 140, 50, 58, 92, 127}"
299,2477,690,0.0,"{225, 296, 106, 77, 273, 177, 150, 30, 287}"
300,2487,648,0.0,"{99, 293, 202, 108, 273, 242, 119, 58, 60}"
301,2497,639,0.0009996891021728516,"{229, 201, 138, 42, 300, 237, 15, 283, 126}"
302,2504,658,0.0,"{258, 138, 172, 112, 145, 244, 53, 283}"
303,2514,674,0.0010001659393310547,"{225, 65, 166, 138, 10, 12, 53, 119}"
304,2524,616,0.0,"{267, 75, 77, 208, 50, 119, 56, 283}"
305,2532,651,0.0010006427764892578,"{296, 138, 77, 48, 273, 83, 56}"
306,2543,680,0.00099945068359375,"{230, 200, 174, 273, 83, 53, 56, 283}"
307,2551,647,0.00099945068359375,"{237, 242, 86, 56, 25, 220, 127}"
308,2565,677,0.0,"{160, 194, 164, 101, 77, 56, 283, 152, 216}"
309,2572,668,0.0,"{296, 172, 77, 303, 113, 148, 52, 56}"
310,2582,696,0.0009989738464355469,"{1, 172, 237, 13, 272, 86, 119, 56}"
311,2594,738,0.0,"{297, 138, 91, 208, 113, 119, 187, 93, 191}"
312,2606,782,0.0,"{166, 139, 172, 206, 207, 145, 50, 152, 188, 93}"
313,2611,595,0.0,"{201, 77, 206, 219, 276, 246, 25, 283}"
314,2621,701,0.001001119613647461,"{104, 201, 140, 77, 206, 237, 247, 121}"
315,2633,749,0.0009999275207519531,"{225, 196, 38, 300, 176, 119, 152, 93, 63}"
316,2642,759,0.0009946823120117188,"{300, 302, 112, 50, 51, 215, 152, 314, 216}"
317,2650,536,0.0,"{225, 66, 69, 38, 112, 119, 314, 283}"
318,2658,649,0.0,"{230, 138, 237, 113, 50, 93, 191}"
319,2672,802,0.0010006427764892578,"{162, 296, 8, 314, 50, 152, 218, 283, 93}"
320,2682,802,0.0,"{281, 314, 77, 237, 51, 119, 25, 218, 316}"
321,2689,707,0.0009999275207519531,"{201, 234, 113, 179, 84, 53, 119, 93}"
322,2699,685,0.0,"{296, 201, 108, 303, 50, 214, 190, 191}"
323,2709,653,0.0010001659393310547,"{106, 237, 205, 273, 86, 152, 283, 255}"
324,2717,625,0.0,"{166, 136, 106, 13, 50, 283, 93}"
325,2730,783,0.0,"{258, 296, 77, 112, 83, 152, 281, 90, 317}"
326,2738,753,0.0,"{296, 77, 239, 273, 152, 123, 317, 63}"
327,2752,737,0.0009996891021728516,"{224, 320, 106, 77, 302, 142, 29, 283, 317, 191}"
328,2758,685,0.0,"{323, 35, 113, 63, 221, 25, 317, 127}"
329,2768,613,0.0,"{161, 167, 201, 300, 273, 242, 309, 283}"
330,2777,659,0.0,"{97, 162, 34, 201, 83, 243, 152, 217}"
331,2785,575,0.0,"{291, 137, 177, 51, 218, 187, 316}"
