Node Count,Number of Operations,Total Weight,Execution Time (seconds),Solution
232,1838,598,0.0,"{166, 10, 172, 45, 119, 187, 63}"
233,1849,652,0.0009999275207519531,"{96, 10, 80, 177, 178, 56, 59, 93}"
234,1858,626,0.0,"{161, 223, 10, 176, 148, 56, 189, 63}"
235,1865,575,0.0,"{97, 162, 10, 206, 20, 56, 121}"
236,1875,571,0.0,"{73, 10, 138, 112, 152, 218, 59}"
237,1886,522,0.0,"{10, 209, 145, 213, 85, 56, 24, 63}"
238,1897,689,0.0,"{201, 10, 234, 108, 43, 203, 56, 152, 216}"
239,1905,645,0.0010004043579101562,"{96, 166, 10, 106, 74, 208, 51, 119}"
240,1914,584,0.0,"{200, 10, 107, 77, 179, 214, 119, 215}"
241,1924,621,0.0,"{67, 232, 169, 10, 106, 237, 119, 127}"
242,1929,555,0.0,"{162, 104, 201, 10, 50, 56}"
243,1942,662,0.0,"{198, 71, 10, 14, 242, 56, 152, 191}"
244,1952,691,0.0,"{162, 166, 135, 233, 10, 214, 56, 93}"
245,1959,552,0.0,"{196, 10, 106, 149, 150, 119, 152}"
246,1968,617,0.0,"{229, 10, 206, 119, 56, 187, 63}"
247,1980,661,0.0,"{128, 10, 138, 119, 25, 127, 183, 63}"
248,1989,636,0.0,"{129, 166, 135, 10, 245, 119, 216, 127}"
249,1999,769,0.0,"{10, 138, 106, 50, 179, 119, 152, 93}"
250,2008,705,0.0,"{225, 230, 10, 106, 108, 56, 219, 152}"
251,2015,579,0.0009982585906982422,"{10, 19, 119, 247, 56, 189, 191}"
252,2025,585,0.0,"{7, 10, 77, 148, 119, 120, 63}"
253,2034,569,0.0,"{66, 198, 201, 10, 119, 216, 123}"
254,2044,595,0.0010004043579101562,"{201, 10, 106, 237, 114, 56, 221}"
255,2057,686,0.0,"{185, 73, 10, 138, 113, 119, 56, 25, 57}"
256,2064,675,0.0,"{104, 10, 138, 42, 177, 119, 152, 123}"
257,2074,735,0.0,"{3, 10, 140, 172, 83, 179, 119, 93}"
258,2085,652,0.0,"{37, 201, 10, 204, 206, 83, 117, 119, 255}"
259,2091,547,0.0,"{10, 235, 140, 208, 240, 56, 152}"
260,2104,733,0.0,"{255, 7, 10, 83, 119, 121, 59, 63, 191}"
261,2112,681,0.0010006427764892578,"{130, 10, 138, 47, 177, 51, 56, 127}"
262,2119,615,0.0,"{1, 34, 10, 138, 77, 50, 191}"
263,2129,587,0.0,"{6, 39, 168, 201, 10, 119, 127}"
264,2138,605,0.0,"{101, 39, 10, 108, 242, 50, 56}"
265,2150,659,0.0,"{256, 6, 10, 108, 56, 219, 152, 63}"
266,2159,635,0.0,"{98, 100, 198, 10, 138, 82, 214, 119}"
267,2167,572,0.0,"{258, 98, 166, 10, 76, 237, 236}"
268,2174,515,0.0,"{195, 10, 106, 44, 77, 56}"
269,2186,613,0.0,"{162, 231, 201, 10, 23, 56, 123}"
270,2197,651,0.0,"{10, 76, 77, 145, 86, 119, 187, 125}"
271,2207,677,0.0,"{197, 10, 237, 206, 145, 149, 119, 56}"
272,2216,617,0.0,"{135, 10, 138, 179, 61, 56, 93, 222}"
273,2224,598,0.0,"{65, 10, 242, 56, 221, 152, 190}"
274,2235,583,0.0,"{2, 229, 10, 140, 206, 119, 152, 215}"
275,2241,543,0.0,"{135, 201, 10, 141, 119, 152}"
276,2252,578,0.0,"{258, 10, 138, 237, 53, 247, 125}"
277,2266,705,0.0010004043579101562,"{130, 230, 10, 140, 177, 214, 56, 252, 223}"
278,2274,610,0.0,"{100, 262, 10, 237, 119, 56, 219, 120}"
279,2285,601,0.0,"{10, 267, 172, 202, 50, 180, 119, 152, 186}"
280,2291,630,0.0,"{162, 10, 138, 269, 206, 119, 56}"
281,2302,590,0.0,"{162, 99, 263, 10, 157, 152, 59, 93}"
282,2312,658,0.0,"{99, 164, 10, 139, 237, 211, 148, 152}"
283,2321,754,0.0,"{10, 138, 172, 273, 50, 22, 56, 187}"
284,2329,674,0.0,"{166, 10, 237, 119, 187, 63, 191}"
285,2341,624,0.0,"{97, 36, 7, 10, 109, 53, 119, 56}"
286,2352,777,0.0,"{162, 258, 34, 102, 10, 139, 56, 218, 191}"
287,2362,791,0.0,"{102, 10, 172, 205, 148, 56, 123, 220, 152}"
288,2367,632,0.0010006427764892578,"{198, 10, 177, 189, 56, 93, 190}"
289,2379,685,0.0,"{36, 137, 10, 172, 273, 83, 56, 152}"
290,2387,577,0.0010008811950683594,"{10, 138, 106, 171, 119, 92, 63}"
291,2394,556,0.0,"{32, 164, 10, 50, 56, 191}"
292,2410,742,0.0,"{137, 10, 170, 77, 177, 86, 56, 60, 152}"
293,2418,633,0.0,"{10, 138, 237, 77, 271, 50, 151, 121}"
294,2425,575,0.0,"{225, 33, 9, 10, 138, 113, 56}"
295,2435,600,0.0,"{10, 43, 77, 209, 51, 56, 123}"
296,2444,577,0.0,"{10, 237, 143, 80, 113, 245, 93}"
297,2456,702,0.0,"{102, 201, 10, 140, 83, 148, 247, 217}"
298,2468,667,0.0,"{225, 6, 135, 8, 10, 138, 110, 88, 93}"
299,2473,593,0.0,"{34, 10, 13, 113, 152, 282, 63}"
300,2487,691,0.0,"{293, 90, 10, 138, 237, 175, 119, 218, 60}"
301,2495,601,0.0009999275207519531,"{296, 10, 108, 14, 148, 155, 252, 63}"
302,2504,660,0.0,"{10, 138, 238, 177, 242, 53, 152, 190}"
303,2516,674,0.0,"{257, 41, 10, 138, 108, 175, 242, 148, 119}"
304,2522,617,0.0,"{10, 138, 156, 50, 119, 152, 220}"
305,2532,636,0.0,"{128, 10, 77, 51, 56, 152, 216}"
306,2543,701,0.0,"{225, 230, 10, 273, 189, 56, 281, 93}"
307,2553,680,0.0,"{97, 101, 296, 10, 138, 140, 234, 210}"
308,2565,763,0.0,"{196, 70, 10, 172, 83, 307, 56, 283, 152}"
309,2572,641,0.0,"{224, 10, 172, 205, 273, 50, 243, 218}"
310,2580,638,0.0010004043579101562,"{10, 138, 76, 80, 214, 152, 283}"
311,2590,627,0.0,"{32, 166, 10, 148, 119, 152, 221}"
312,2600,597,0.0,"{258, 10, 138, 115, 56, 25, 152}"
313,2611,561,0.0,"{35, 201, 10, 41, 140, 15, 119, 253}"
314,2619,600,0.0,"{40, 10, 50, 83, 52, 56, 152}"
315,2627,581,0.0,"{296, 10, 140, 300, 119, 314}"
316,2638,643,0.0,"{296, 201, 10, 273, 152, 281, 189}"
317,2650,636,0.0,"{69, 135, 168, 10, 138, 87, 119, 123}"
318,2660,593,0.0,"{196, 134, 10, 107, 209, 56, 152, 63}"
319,2674,820,0.0,"{135, 10, 45, 302, 174, 242, 83, 247, 56, 220}"
320,2682,718,0.0,"{194, 201, 10, 106, 300, 138, 112, 305, 247}"
321,2687,595,0.0,"{265, 10, 138, 56, 121, 59, 191}"
322,2699,653,0.0,"{319, 10, 44, 84, 56, 314, 253, 127}"
323,2709,672,0.0,"{59, 10, 177, 23, 55, 119, 283, 62}"
324,2719,614,0.0,"{296, 201, 10, 138, 8, 302, 17, 29}"
325,2728,613,0.0,"{258, 263, 296, 9, 10, 56, 317, 223}"
326,2736,610,0.0,"{10, 140, 172, 272, 211, 119, 318}"
327,2746,654,0.0,"{258, 197, 201, 10, 119, 218, 317}"
328,2758,675,0.0,"{323, 259, 10, 56, 58, 187, 317, 191}"
329,2768,687,0.0,"{323, 165, 201, 10, 300, 112, 51, 63}"
330,2777,702,0.0,"{323, 296, 10, 270, 83, 119, 317, 191}"
331,2787,591,0.0,"{163, 39, 296, 10, 300, 51, 56, 252}"
332,2797,623,0.0,"{10, 113, 242, 212, 56, 27, 190, 127}"
333,2807,670,0.0,"{100, 296, 10, 140, 273, 183, 152, 216}"
334,2815,594,0.0,"{168, 10, 106, 171, 236, 119, 127}"
335,2826,682,0.0,"{201, 10, 138, 50, 217, 154, 317, 190}"
336,2834,625,0.0,"{128, 10, 237, 119, 25, 190, 191}"
337,2848,595,0.0009999275207519531,"{290, 105, 10, 331, 77, 175, 243, 152, 218}"
338,2856,640,0.0,"{10, 299, 108, 178, 245, 152, 317, 93}"
339,2870,699,0.0,"{226, 323, 40, 10, 11, 302, 336, 51, 56, 188}"
